Kod,Hasar Türü,Etkilenen Parça (affected_part)
DMG001,Kuş çarpması,Genel Yapısal Alan / Diğer Sistem
DMG002,Şimşek çarpması,Genel Yapısal Alan / Diğer Sistem
DMG003,Sert iniş,İniş Takımı Sistemi
DMG004,Yakıt kaçağı,Yakıt Sistemi / Yakıt Hattı
DMG005,Hidrolik sistem kaçağı,Hidrolik Hat / Aktüatör
DMG006,Lastik patlaması,Genel Yapısal Alan / Diğer Sistem
DMG007,Motor kompresör kanadı erozyonu,Motor Ünitesi / Egzoz Hattı
DMG008,Motor yağ kirlenmesi,Motor Ünitesi / Egzoz Hattı
DMG009,Bleed air hattı kaçağı,Genel Yapısal Alan / Diğer Sistem
DMG010,Kabin basınç kaybı,Genel Yapısal Alan / Diğer Sistem
DMG011,Pitot tüpü tıkanması,Genel Yapısal Alan / Diğer Sistem
DMG012,Statik port kirliliği,Genel Yapısal Alan / Diğer Sistem
DMG013,Yakıt filtresi tıkanması,Yakıt Sistemi / Yakıt Hattı
DMG014,APU aşırı ısınması,Genel Yapısal Alan / Diğer Sistem
DMG015,Bleed valfi sıkışması,Genel Yapısal Alan / Diğer Sistem
DMG016,Ters itki sistemi arızası,Genel Yapısal Alan / Diğer Sistem
DMG017,Spoiler aktüatör arızası,Genel Yapısal Alan / Diğer Sistem
DMG018,Flap rayı hasarı,Genel Yapısal Alan / Diğer Sistem
DMG019,Rudder servo arızası,Genel Yapısal Alan / Diğer Sistem
DMG020,Elevator kontrol kablosu aşınması,Genel Yapısal Alan / Diğer Sistem
DMG021,Aileron bağlantı gevşemesi,Genel Yapısal Alan / Diğer Sistem
DMG022,Hidrolik akümülatör kaçağı,Hidrolik Hat / Aktüatör
DMG023,Ana iniş takımı tork bağlantısı hasarı,İniş Takımı Sistemi
DMG024,Amortisör azot kaybı,Genel Yapısal Alan / Diğer Sistem
DMG025,İniş takımı kapağı sıkışması,Genel Yapısal Alan / Diğer Sistem
DMG026,Tekerlek rulman arızası,İniş Takımı Sistemi
DMG027,Fren sistemi aşırı ısınması,Genel Yapısal Alan / Diğer Sistem
DMG028,Oksijen sistemi kaçağı,Genel Yapısal Alan / Diğer Sistem
